[0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0021],[0.1019 0.1019 0.1013 0.1019 0.1024 0.1013 0.1019 0.1019 0.1013 0.1013],[0.2011 0.2001 0.2006 0.2006 0.2006 0.2006 0.2006 0.2006 0.2006 0.2006],[0.2983 0.2983 0.2978 0.2983 0.2983 0.2983 0.2983 0.2988 0.2983 0.2988],[0.397  0.3965 0.3965 0.3965 0.397  0.3965 0.397  0.3975 0.3965 0.397 ],[0.4978 0.4978 0.4973 0.4983 0.4978 0.4978 0.4978 0.4973 0.4973 0.4978],[0.5986 0.5976 0.5981 0.5981 0.5976 0.5981 0.5981 0.5981 0.5986 0.5981],[0.6974 0.6979 0.6974 0.6974 0.6974 0.6979 0.6974 0.6974 0.6974 0.6979],[0.7977 0.7977 0.7982 0.7977 0.7977 0.7982 0.7982 0.7977 0.7982 0.7977],[0.8974 0.8974 0.898  0.8974 0.898  0.8974 0.898  0.898  0.8974 0.8974],[0.9972 0.9972 0.9972 0.9972 0.9972 0.9972 0.9967 0.9967 0.9967 0.9967],[1.0959 1.0965 1.0959 1.0965 1.0965 1.0965 1.0959 1.0965 1.0965 1.0959],[1.1983 1.1978 1.1983 1.1978 1.1978 1.1983 1.1978 1.1978 1.1983 1.1978],[1.297  1.297  1.297  1.297  1.297  1.297  1.297  1.2976 1.297  1.297 ],[1.3921 1.3926 1.3926 1.3921 1.3926 1.3921 1.3926 1.3921 1.3921 1.3926],[1.4935 1.4935 1.494  1.494  1.494  1.494  1.494  1.494  1.494  1.494 ],[1.5938 1.5938 1.5938 1.5943 1.5938 1.5938 1.5943 1.5938 1.5943 1.5943],[1.6946 1.6951 1.6951 1.6956 1.6951 1.6946 1.6951 1.6951 1.6951 1.6951],[1.7938 1.7943 1.7943 1.7949 1.7938 1.7938 1.7943 1.7938 1.7943 1.7943],[1.8946 1.8946 1.8946 1.8952 1.8946 1.8946 1.8946 1.8946 1.8946 1.8941],[2.0002 2.0007 2.0007 2.0007 2.0002 2.0007 2.0002 2.0007 2.0007 2.0002],[2.0994 2.0994 2.0994 2.0989 2.0994 2.0989 2.0994 2.0989 2.0994 2.0994],[2.1987 2.1997 2.1992 2.1992 2.1992 2.1997 2.1992 2.1992 2.1992 2.1992],[2.3005 2.3005 2.3    2.3005 2.3005 2.3    2.3005 2.3    2.3    2.3005],[2.3998 2.3998 2.3998 2.3998 2.3993 2.4003 2.3998 2.3998 2.3998 2.3998]
|[-0.0001  -0.00026 -0.00026 -0.0001  -0.00021 -0.00015 -0.0001  -0.00015
 -0.00015 -0.0001 ]|,|[-2.1e-04 -1.5e-04 -1.0e-04 -2.1e-04 -1.0e-04 -1.0e-04 -1.5e-04 -5.0e-05
 -2.6e-04 -2.6e-04]|,|[-1.5e-04 -1.5e-04 -1.0e-04 -2.1e-04 -1.0e-04 -2.6e-04 -1.5e-04 -5.0e-05
 -1.5e-04 -1.0e-04]|,|[-0.00015 -0.0001  -0.00015 -0.00015 -0.00026  0.      -0.00021 -0.00015
 -0.0001  -0.00021]|,|[-0.00015 -0.0001  -0.00021 -0.0001  -0.00015 -0.00015 -0.00021 -0.00015
 -0.00021 -0.00015]|,|[-0.0001  -0.00015 -0.0001   0.      -0.00021 -0.00021 -0.0001  -0.00021
 -0.0001  -0.00015]|,|[-5.0e-05  0.0e+00 -1.5e-04 -2.1e-04 -1.5e-04 -1.0e-04 -1.5e-04 -1.0e-04
 -5.0e-05 -2.6e-04]|,|[-1.0e-04 -5.0e-05 -1.5e-04 -1.0e-04 -1.0e-04 -2.1e-04 -5.0e-05 -5.0e-05
 -2.1e-04 -2.1e-04]|,|[-1.5e-04 -1.5e-04 -2.1e-04 -5.0e-05 -5.0e-05 -1.5e-04 -1.0e-04 -1.0e-04
 -2.1e-04 -5.0e-05]|,|[-5.0e-05 -1.0e-04 -2.1e-04 -5.0e-05 -1.0e-04 -1.5e-04 -1.0e-04 -1.0e-04
 -1.0e-04 -1.5e-04]|,|[-1.0e-04 -1.5e-04 -1.0e-04 -5.0e-05 -5.0e-05 -1.0e-04 -5.0e-05 -1.0e-04
 -1.0e-04 -1.0e-04]|,|[-1.5e-04 -1.5e-04 -5.0e-05 -2.1e-04 -1.0e-04  5.0e-05 -1.5e-04 -5.0e-05
 -5.0e-05  0.0e+00]|,|[-5.0e-05 -5.0e-05 -1.0e-04 -1.5e-04 -1.0e-04 -1.0e-04 -1.5e-04 -1.5e-04
 -5.0e-05 -1.0e-04]|,|[-1.5e-04 -5.0e-05 -1.0e-04 -1.0e-04  0.0e+00 -1.5e-04 -1.0e-04  0.0e+00
 -5.0e-05 -1.0e-04]|,|[-5.0e-05 -1.0e-04 -5.0e-05 -1.5e-04 -1.0e-04 -1.0e-04 -1.5e-04 -5.0e-05
  0.0e+00 -1.0e-04]|,|[-1.5e-04 -5.0e-05 -5.0e-05 -5.0e-05 -1.0e-04  0.0e+00 -1.0e-04 -1.5e-04
 -1.0e-04 -1.0e-04]|,|[-5.0e-05 -1.5e-04  1.0e-04  0.0e+00 -1.0e-04 -5.0e-05 -5.0e-05 -1.0e-04
 -1.5e-04 -5.0e-05]|,|[-1.0e-04 -1.0e-04  0.0e+00  0.0e+00 -1.0e-04 -5.0e-05 -5.0e-05 -5.0e-05
 -1.5e-04 -5.0e-05]|,|[-5.0e-05 -1.5e-04 -1.0e-04  0.0e+00 -1.5e-04  0.0e+00  1.5e-04 -1.5e-04
 -5.0e-05 -1.0e-04]|,|[ 0.e+00 -1.e-04 -5.e-05  0.e+00 -5.e-05  5.e-05  0.e+00 -5.e-05 -5.e-05
 -5.e-05]|,|[ 0.e+00 -5.e-05  5.e-05  0.e+00  0.e+00 -5.e-05 -5.e-05 -1.e-04  0.e+00
 -5.e-05]|,|[ 5.e-05 -5.e-05  0.e+00 -5.e-05 -1.e-04  5.e-05  5.e-05  0.e+00  5.e-05
  1.e-04]|,|[ 0.e+00 -5.e-05  0.e+00  0.e+00  0.e+00  0.e+00  0.e+00 -5.e-05 -5.e-05
  5.e-05]|,|[ 5.e-05  5.e-05  5.e-05  0.e+00  5.e-05 -5.e-05  0.e+00  0.e+00  0.e+00
 -1.e-04]|,|[-5.e-05  5.e-05  5.e-05  0.e+00  5.e-05  1.e-04  0.e+00  0.e+00  5.e-05
  5.e-05]|
